Initial upper_bound: 7589151.9, lower_bound: 1442895.9, init_target_latency: 4516023.9, diff_threshold_ns: 1000000
Search segment 0, latency: 46782875.53, target: 4516023.9, partition: [129   1   1   1], latencies(ns): [46782875   139087   316325   580337]
Search segment 0, latency: 47030675.61, target: 4516023.9, partition: [128   2   1   1], latencies(ns): [47030675   787737   316325   580337]
Search segment 0, latency: 47091931.27, target: 4516023.9, partition: [127   3   1   1], latencies(ns): [47091931   745581   316325   580337]
Search segment 0, latency: 45898634.14, target: 4516023.9, partition: [126   4   1   1], latencies(ns): [45898634  2667519   316325   580337]
Search segment 0, latency: 45877889.86, target: 4516023.9, partition: [125   5   1   1], latencies(ns): [45877889  2649180   316325   580337]
Search segment 0, latency: 45902790.36, target: 4516023.9, partition: [124   6   1   1], latencies(ns): [45902790  2448767   316325   580337]
Search segment 0, latency: 44889106.06, target: 4516023.9, partition: [123   7   1   1], latencies(ns): [44889106  3671887   316325   580337]
Search segment 0, latency: 43793842.29, target: 4516023.9, partition: [122   8   1   1], latencies(ns): [43793842  4621871   316325   580337]
Search segment 0, latency: 41912099.64, target: 4516023.9, partition: [121   9   1   1], latencies(ns): [41912099  6345697   316325   580337]
Search segment 0, latency: 41919077.76, target: 4516023.9, partition: [120  10   1   1], latencies(ns): [41919077  6405925   316325   580337]
Search segment 0, latency: 41931055.49, target: 4516023.9, partition: [119  11   1   1], latencies(ns): [41931055  6392487   316325   580337]
Search segment 0, latency: 40923080.78, target: 4516023.9, partition: [118  12   1   1], latencies(ns): [40923080  7401433   316325   580337]
Search segment 0, latency: 39800481.74, target: 4516023.9, partition: [117  13   1   1], latencies(ns): [39800481  8354105   316325   580337]
Search segment 0, latency: 39719761.59, target: 4516023.9, partition: [116  14   1   1], latencies(ns): [39719761  8282128   316325   580337]
Search segment 0, latency: 37534766.78, target: 4516023.9, partition: [115  15   1   1], latencies(ns): [37534766 10432550   316325   580337]
Search segment 0, latency: 36921184.03, target: 4516023.9, partition: [114  16   1   1], latencies(ns): [36921184 11631135   316325   580337]
Search segment 0, latency: 36509691.06, target: 4516023.9, partition: [113  17   1   1], latencies(ns): [36509691 11357571   316325   580337]
Search segment 0, latency: 36577287.31, target: 4516023.9, partition: [112  18   1   1], latencies(ns): [36577287 11445695   316325   580337]
Search segment 0, latency: 35783487.83, target: 4516023.9, partition: [111  19   1   1], latencies(ns): [35783487 12472953   316325   580337]
Search segment 0, latency: 35791976.83, target: 4516023.9, partition: [110  20   1   1], latencies(ns): [35791976 12509308   316325   580337]
Search segment 0, latency: 35882615.64, target: 4516023.9, partition: [109  21   1   1], latencies(ns): [35882615 12569345   316325   580337]
Search segment 0, latency: 34787855.87, target: 4516023.9, partition: [108  22   1   1], latencies(ns): [34787855 13529395   316325   580337]
